2020/08/06 07:14:29: Ceiling Accuracy 1: 0.99 5: 1.00 10: 1.00 Half: 1.00

2020/08/06 07:14:34:     Epoch 57 Loss | total: 499.37 | cycle: 43.5 | f_dist: 56.9 | g_dist: 57.1 | f_sup: 172 | g_sup: 170        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.21 | 10: 0.31 | half: 0.77
2020/08/06 07:14:34:     Epoch 59 Loss | total: 496.45 | cycle: 40.9 | f_dist: 56.9 | g_dist: 57.2 | f_sup: 171 | g_sup: 170        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.32 | half: 0.77
2020/08/06 07:14:34:     Epoch 61 Loss | total: 499.81 | cycle: 44.6 | f_dist: 57.1 | g_dist: 57.3 | f_sup: 171 | g_sup: 170        f(x) Accuracy | 1: 0.10 | 5: 0.21 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.21 | 10: 0.31 | half: 0.77
2020/08/06 07:14:35:     Epoch 63 Loss | total: 497.91 | cycle: 42.9 | f_dist: 56.8 | g_dist: 57.3 | f_sup: 171 | g_sup: 170        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.32 | half: 0.77
2020/08/06 07:14:35:     Epoch 65 Loss | total: 500.85 | cycle: 46.4 | f_dist: 57 | g_dist: 57.3 | f_sup: 171 | g_sup: 169        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77
2020/08/06 07:14:35:     Epoch 67 Loss | total: 502.71 | cycle: 48.4 | f_dist: 56.8 | g_dist: 57.2 | f_sup: 171 | g_sup: 169        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.31 | half: 0.77
2020/08/06 07:14:35:     Epoch 69 Loss | total: 504.05 | cycle: 50.2 | f_dist: 56.8 | g_dist: 57.1 | f_sup: 171 | g_sup: 169        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.10 | 5: 0.22 | 10: 0.31 | half: 0.77
2020/08/06 07:14:36:     Epoch 71 Loss | total: 504.2 | cycle: 50.7 | f_dist: 56.8 | g_dist: 57.1 | f_sup: 170 | g_sup: 169        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.10 | 5: 0.21 | 10: 0.32 | half: 0.77
2020/08/06 07:14:36:     Epoch 73 Loss | total: 495.41 | cycle: 42.2 | f_dist: 56.7 | g_dist: 56.9 | f_sup: 171 | g_sup: 169        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.10 | 5: 0.21 | 10: 0.32 | half: 0.77
2020/08/06 07:14:36:     Epoch 75 Loss | total: 499.72 | cycle: 46.8 | f_dist: 56.6 | g_dist: 57 | f_sup: 170 | g_sup: 169        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.31 | half: 0.77
