2020/07/29 19:24:12:     Epoch 85 Loss | total: 198.95 | cycle: 1.35 | f_dist: 91.7 | g_dist: 95.9 | f_sup: 5.81 | g_sup: 4.2        f(x) Accuracy | 1: 0.45 | 5: 0.62 | 10: 0.70 | half: 0.99        g(y) Accuracy | 1: 0.44 | 5: 0.60 | 10: 0.68 | half: 0.99
2020/07/29 19:24:13:     Epoch 87 Loss | total: 200.51 | cycle: 1.72 | f_dist: 91.5 | g_dist: 94.7 | f_sup: 7.38 | g_sup: 5.26        f(x) Accuracy | 1: 0.46 | 5: 0.62 | 10: 0.69 | half: 0.99        g(y) Accuracy | 1: 0.45 | 5: 0.61 | 10: 0.69 | half: 0.99
2020/07/29 19:24:14:     Epoch 89 Loss | total: 203.29 | cycle: 2.44 | f_dist: 91.2 | g_dist: 93.1 | f_sup: 8.99 | g_sup: 7.53        f(x) Accuracy | 1: 0.47 | 5: 0.62 | 10: 0.69 | half: 1.00        g(y) Accuracy | 1: 0.46 | 5: 0.62 | 10: 0.69 | half: 0.99
2020/07/29 19:24:14:     Epoch 91 Loss | total: 205.25 | cycle: 2.59 | f_dist: 90.7 | g_dist: 91.8 | f_sup: 10.4 | g_sup: 9.72        f(x) Accuracy | 1: 0.47 | 5: 0.63 | 10: 0.70 | half: 1.00        g(y) Accuracy | 1: 0.47 | 5: 0.62 | 10: 0.69 | half: 0.99
2020/07/29 19:24:15:     Epoch 93 Loss | total: 203.14 | cycle: 2.43 | f_dist: 89.6 | g_dist: 91.1 | f_sup: 10.3 | g_sup: 9.72        f(x) Accuracy | 1: 0.47 | 5: 0.64 | 10: 0.70 | half: 1.00        g(y) Accuracy | 1: 0.47 | 5: 0.62 | 10: 0.69 | half: 0.99
2020/07/29 19:24:16:     Epoch 95 Loss | total: 198.62 | cycle: 2.38 | f_dist: 88.5 | g_dist: 90.3 | f_sup: 9.41 | g_sup: 8.02        f(x) Accuracy | 1: 0.48 | 5: 0.65 | 10: 0.71 | half: 1.00        g(y) Accuracy | 1: 0.47 | 5: 0.62 | 10: 0.69 | half: 0.99
2020/07/29 19:24:16:     Epoch 97 Loss | total: 195.83 | cycle: 2.29 | f_dist: 87.9 | g_dist: 89.8 | f_sup: 9.2 | g_sup: 6.65        f(x) Accuracy | 1: 0.50 | 5: 0.65 | 10: 0.72 | half: 1.00        g(y) Accuracy | 1: 0.47 | 5: 0.63 | 10: 0.71 | half: 1.00
2020/07/29 19:24:17:     Epoch 99 Loss | total: 194.48 | cycle: 2.08 | f_dist: 87.5 | g_dist: 89.2 | f_sup: 9.34 | g_sup: 6.41        f(x) Accuracy | 1: 0.50 | 5: 0.66 | 10: 0.73 | half: 1.00        g(y) Accuracy | 1: 0.47 | 5: 0.63 | 10: 0.71 | half: 1.00
2020/07/29 19:24:18:     Epoch 101 Loss | total: 194.27 | cycle: 1.7 | f_dist: 87.5 | g_dist: 88.6 | f_sup: 9.58 | g_sup: 6.87        f(x) Accuracy | 1: 0.50 | 5: 0.66 | 10: 0.73 | half: 0.99        g(y) Accuracy | 1: 0.48 | 5: 0.63 | 10: 0.72 | half: 1.00
2020/07/29 19:24:18:     Epoch 103 Loss | total: 192.47 | cycle: 2.21 | f_dist: 87.2 | g_dist: 88 | f_sup: 8.09 | g_sup: 7.04        f(x) Accuracy | 1: 0.51 | 5: 0.66 | 10: 0.73 | half: 0.99        g(y) Accuracy | 1: 0.49 | 5: 0.64 | 10: 0.71 | half: 1.00
2020/07/29 19:24:19:     Epoch 105 Loss | total: 189.23 | cycle: 1.75 | f_dist: 86.9 | g_dist: 87.6 | f_sup: 6.18 | g_sup: 6.86        f(x) Accuracy | 1: 0.51 | 5: 0.67 | 10: 0.74 | half: 0.99        g(y) Accuracy | 1: 0.48 | 5: 0.64 | 10: 0.71 | half: 1.00
2020/07/29 19:24:20:     Epoch 107 Loss | total: 186.65 | cycle: 1.72 | f_dist: 86.5 | g_dist: 87 | f_sup: 4.89 | g_sup: 6.56        f(x) Accuracy | 1: 0.50 | 5: 0.67 | 10: 0.74 | half: 0.99        g(y) Accuracy | 1: 0.48 | 5: 0.64 | 10: 0.71 | half: 0.99
2020/07/29 19:24:20:     Epoch 109 Loss | total: 186.09 | cycle: 2.27 | f_dist: 85.8 | g_dist: 86.8 | f_sup: 5.23 | g_sup: 5.94        f(x) Accuracy | 1: 0.50 | 5: 0.67 | 10: 0.74 | half: 0.99        g(y) Accuracy | 1: 0.49 | 5: 0.65 | 10: 0.71 | half: 0.99
2020/07/29 19:24:21:     Epoch 111 Loss | total: 186.56 | cycle: 2.07 | f_dist: 85.5 | g_dist: 87.1 | f_sup: 6.31 | g_sup: 5.58        f(x) Accuracy | 1: 0.49 | 5: 0.68 | 10: 0.75 | half: 1.00        g(y) Accuracy | 1: 0.48 | 5: 0.65 | 10: 0.71 | half: 0.99
2020/07/29 19:24:22:     Epoch 113 Loss | total: 188.16 | cycle: 2.08 | f_dist: 85 | g_dist: 87.4 | f_sup: 7.9 | g_sup: 5.77        f(x) Accuracy | 1: 0.50 | 5: 0.68 | 10: 0.76 | half: 1.00        g(y) Accuracy | 1: 0.49 | 5: 0.66 | 10: 0.70 | half: 0.99
