2020/08/06 07:15:15: Ceiling Accuracy 1: 0.99 5: 1.00 10: 1.00 Half: 1.00

2020/08/06 07:15:23:     Epoch 79 Loss | total: 519.03 | cycle: 43.2 | f_dist: 67.7 | g_dist: 68.3 | f_sup: 169 | g_sup: 171        f(x) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.24 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:23:     Epoch 81 Loss | total: 523.62 | cycle: 48 | f_dist: 67.5 | g_dist: 68.5 | f_sup: 169 | g_sup: 170        f(x) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.24 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.25 | half: 0.80
2020/08/06 07:15:24:     Epoch 83 Loss | total: 529.03 | cycle: 53.6 | f_dist: 67.7 | g_dist: 68.4 | f_sup: 169 | g_sup: 170        f(x) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:24:     Epoch 85 Loss | total: 529.12 | cycle: 53.8 | f_dist: 67.5 | g_dist: 68.4 | f_sup: 169 | g_sup: 170        f(x) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:24:     Epoch 87 Loss | total: 530.61 | cycle: 55.6 | f_dist: 67.7 | g_dist: 68.5 | f_sup: 169 | g_sup: 170        f(x) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.24 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:24:     Epoch 89 Loss | total: 525.06 | cycle: 50.2 | f_dist: 67.7 | g_dist: 68.2 | f_sup: 168 | g_sup: 170        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:24:     Epoch 91 Loss | total: 521.11 | cycle: 46.3 | f_dist: 67.4 | g_dist: 68.3 | f_sup: 169 | g_sup: 170        f(x) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:24:     Epoch 93 Loss | total: 518.91 | cycle: 44.3 | f_dist: 67.4 | g_dist: 68.3 | f_sup: 169 | g_sup: 170        f(x) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.24 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:25:     Epoch 95 Loss | total: 523.85 | cycle: 49.4 | f_dist: 67.5 | g_dist: 68.4 | f_sup: 169 | g_sup: 170        f(x) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:25:     Epoch 97 Loss | total: 530.53 | cycle: 56.4 | f_dist: 67.7 | g_dist: 68.5 | f_sup: 168 | g_sup: 170        f(x) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:25:     Epoch 99 Loss | total: 524.14 | cycle: 50.1 | f_dist: 67.4 | g_dist: 68.4 | f_sup: 168 | g_sup: 170        f(x) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:25: Restart:0        f(x) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.24 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80    Epoch 100 Loss | total: 522.95 | cycle: 48.9 | f_dist: 67.3 | g_dist: 68.4 | f_sup: 169 | g_sup: 170
2020/08/06 07:15:25:         f(x) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.24 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
