2020/07/30 06:11:38:     Epoch 53 Loss | total: 3.2782e+05 | cycle: 1.91e+04 | f_dist: 6.09e+04 | g_dist: 5.08e+04 | f_sup: 1.12e+05 | g_sup: 8.51e+04        f(x) Accuracy | 1: 0.02 | 5: 0.06 | 10: 0.10 | half: 0.81        g(y) Accuracy | 1: 0.04 | 5: 0.09 | 10: 0.14 | half: 0.84
2020/07/30 06:11:39:     Epoch 55 Loss | total: 3.2823e+05 | cycle: 2.14e+04 | f_dist: 6.05e+04 | g_dist: 5.08e+04 | f_sup: 1.11e+05 | g_sup: 8.45e+04        f(x) Accuracy | 1: 0.02 | 5: 0.06 | 10: 0.10 | half: 0.80        g(y) Accuracy | 1: 0.04 | 5: 0.10 | 10: 0.15 | half: 0.84
2020/07/30 06:11:40:     Epoch 57 Loss | total: 3.2612e+05 | cycle: 2.12e+04 | f_dist: 6.04e+04 | g_dist: 5.06e+04 | f_sup: 1.1e+05 | g_sup: 8.36e+04        f(x) Accuracy | 1: 0.02 | 5: 0.06 | 10: 0.10 | half: 0.80        g(y) Accuracy | 1: 0.04 | 5: 0.10 | 10: 0.15 | half: 0.84
2020/07/30 06:11:41:     Epoch 59 Loss | total: 3.2128e+05 | cycle: 1.78e+04 | f_dist: 6.04e+04 | g_dist: 5.03e+04 | f_sup: 1.1e+05 | g_sup: 8.29e+04        f(x) Accuracy | 1: 0.02 | 5: 0.06 | 10: 0.10 | half: 0.81        g(y) Accuracy | 1: 0.04 | 5: 0.10 | 10: 0.15 | half: 0.85
2020/07/30 06:11:42:     Epoch 61 Loss | total: 3.2406e+05 | cycle: 2.17e+04 | f_dist: 6.03e+04 | g_dist: 5.01e+04 | f_sup: 1.1e+05 | g_sup: 8.23e+04        f(x) Accuracy | 1: 0.02 | 5: 0.06 | 10: 0.11 | half: 0.81        g(y) Accuracy | 1: 0.04 | 5: 0.10 | 10: 0.15 | half: 0.85
2020/07/30 06:11:43:     Epoch 63 Loss | total: 3.2192e+05 | cycle: 1.98e+04 | f_dist: 6.05e+04 | g_dist: 4.99e+04 | f_sup: 1.1e+05 | g_sup: 8.2e+04        f(x) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.11 | half: 0.81        g(y) Accuracy | 1: 0.04 | 5: 0.10 | 10: 0.15 | half: 0.85
2020/07/30 06:11:44:     Epoch 65 Loss | total: 3.2021e+05 | cycle: 1.88e+04 | f_dist: 6.06e+04 | g_dist: 4.97e+04 | f_sup: 1.09e+05 | g_sup: 8.16e+04        f(x) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.10 | half: 0.81        g(y) Accuracy | 1: 0.04 | 5: 0.10 | 10: 0.16 | half: 0.85
2020/07/30 06:11:46:     Epoch 67 Loss | total: 3.1834e+05 | cycle: 1.98e+04 | f_dist: 6.03e+04 | g_dist: 4.96e+04 | f_sup: 1.08e+05 | g_sup: 8.07e+04        f(x) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.11 | half: 0.81        g(y) Accuracy | 1: 0.04 | 5: 0.11 | 10: 0.16 | half: 0.86
2020/07/30 06:11:47:     Epoch 69 Loss | total: 3.1543e+05 | cycle: 1.93e+04 | f_dist: 5.99e+04 | g_dist: 4.94e+04 | f_sup: 1.07e+05 | g_sup: 8e+04        f(x) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.11 | half: 0.81        g(y) Accuracy | 1: 0.05 | 5: 0.11 | 10: 0.17 | half: 0.86
2020/07/30 06:11:48:     Epoch 71 Loss | total: 3.1663e+05 | cycle: 2.15e+04 | f_dist: 5.97e+04 | g_dist: 4.93e+04 | f_sup: 1.06e+05 | g_sup: 7.97e+04        f(x) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.11 | half: 0.81        g(y) Accuracy | 1: 0.05 | 5: 0.11 | 10: 0.17 | half: 0.86
2020/07/30 06:11:49:     Epoch 73 Loss | total: 3.1576e+05 | cycle: 2.02e+04 | f_dist: 5.98e+04 | g_dist: 4.93e+04 | f_sup: 1.07e+05 | g_sup: 8e+04        f(x) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.10 | half: 0.82        g(y) Accuracy | 1: 0.05 | 5: 0.12 | 10: 0.16 | half: 0.86
2020/07/30 06:11:50:     Epoch 75 Loss | total: 3.1782e+05 | cycle: 2.06e+04 | f_dist: 5.99e+04 | g_dist: 4.94e+04 | f_sup: 1.07e+05 | g_sup: 8.08e+04        f(x) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.11 | half: 0.83        g(y) Accuracy | 1: 0.04 | 5: 0.11 | 10: 0.16 | half: 0.86
2020/07/30 06:11:51:     Epoch 77 Loss | total: 3.1778e+05 | cycle: 2.17e+04 | f_dist: 5.96e+04 | g_dist: 4.94e+04 | f_sup: 1.06e+05 | g_sup: 8.09e+04        f(x) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.11 | half: 0.83        g(y) Accuracy | 1: 0.04 | 5: 0.12 | 10: 0.16 | half: 0.85
2020/07/30 06:11:52:     Epoch 79 Loss | total: 3.1511e+05 | cycle: 1.94e+04 | f_dist: 5.9e+04 | g_dist: 4.98e+04 | f_sup: 1.05e+05 | g_sup: 8.19e+04        f(x) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.11 | half: 0.82        g(y) Accuracy | 1: 0.05 | 5: 0.11 | 10: 0.17 | half: 0.85
2020/07/30 06:11:53:     Epoch 81 Loss | total: 3.1143e+05 | cycle: 1.99e+04 | f_dist: 5.87e+04 | g_dist: 4.94e+04 | f_sup: 1.05e+05 | g_sup: 7.87e+04        f(x) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.11 | half: 0.82        g(y) Accuracy | 1: 0.05 | 5: 0.12 | 10: 0.18 | half: 0.86
2020/07/30 06:11:55:     Epoch 83 Loss | total: 3.0799e+05 | cycle: 1.9e+04 | f_dist: 5.85e+04 | g_dist: 4.9e+04 | f_sup: 1.04e+05 | g_sup: 7.73e+04        f(x) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.11 | half: 0.83        g(y) Accuracy | 1: 0.05 | 5: 0.12 | 10: 0.18 | half: 0.86
2020/07/30 06:11:56:     Epoch 85 Loss | total: 3.0935e+05 | cycle: 2.14e+04 | f_dist: 5.85e+04 | g_dist: 4.89e+04 | f_sup: 1.03e+05 | g_sup: 7.71e+04        f(x) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.12 | half: 0.83        g(y) Accuracy | 1: 0.05 | 5: 0.12 | 10: 0.18 | half: 0.86
2020/07/30 06:11:57:     Epoch 87 Loss | total: 3.0676e+05 | cycle: 1.98e+04 | f_dist: 5.85e+04 | g_dist: 4.88e+04 | f_sup: 1.03e+05 | g_sup: 7.69e+04        f(x) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.12 | half: 0.83        g(y) Accuracy | 1: 0.05 | 5: 0.12 | 10: 0.18 | half: 0.86
2020/07/30 06:11:58:     Epoch 89 Loss | total: 3.0815e+05 | cycle: 2.2e+04 | f_dist: 5.85e+04 | g_dist: 4.87e+04 | f_sup: 1.02e+05 | g_sup: 7.66e+04        f(x) Accuracy | 1: 0.02 | 5: 0.08 | 10: 0.12 | half: 0.83        g(y) Accuracy | 1: 0.05 | 5: 0.12 | 10: 0.18 | half: 0.86
2020/07/30 06:11:59:     Epoch 91 Loss | total: 3.0776e+05 | cycle: 2.23e+04 | f_dist: 5.85e+04 | g_dist: 4.85e+04 | f_sup: 1.02e+05 | g_sup: 7.62e+04        f(x) Accuracy | 1: 0.02 | 5: 0.08 | 10: 0.12 | half: 0.83        g(y) Accuracy | 1: 0.05 | 5: 0.12 | 10: 0.18 | half: 0.86
2020/07/30 06:12:00:     Epoch 93 Loss | total: 3.0596e+05 | cycle: 2.02e+04 | f_dist: 5.87e+04 | g_dist: 4.83e+04 | f_sup: 1.02e+05 | g_sup: 7.62e+04        f(x) Accuracy | 1: 0.02 | 5: 0.08 | 10: 0.12 | half: 0.82        g(y) Accuracy | 1: 0.05 | 5: 0.12 | 10: 0.18 | half: 0.86
2020/07/30 06:12:01:     Epoch 95 Loss | total: 3.0869e+05 | cycle: 2.14e+04 | f_dist: 5.89e+04 | g_dist: 4.83e+04 | f_sup: 1.03e+05 | g_sup: 7.68e+04        f(x) Accuracy | 1: 0.02 | 5: 0.08 | 10: 0.12 | half: 0.83        g(y) Accuracy | 1: 0.05 | 5: 0.12 | 10: 0.18 | half: 0.86
